Method,Objective Function,Start X,Start Y,Learning Rate,End X,End Y,Function At End,Number of Iterations,Avg Runtime,Stdev Runtime
adagrad,nonconvex,-7.0,-4.0,0.001,-6.857448,-3.862015,62.820406,5000,0.046158,0.008917
adagrad,nonconvex,10.0,10.0,0.001,9.861464,9.861464,176.37379,5000,0.052165,0.007519
adagrad,nonconvex,1.0,-1.0,0.001,1.14139,-1.14139,10.932169,5000,0.053353,0.006117
adagrad,nonconvex,-7.0,-4.0,0.01,-5.378068,-2.921206,33.874872,5000,0.050932,0.003352
adagrad,nonconvex,10.0,10.0,0.01,8.786389,8.786389,138.340124,5000,0.048883,0.00716
adagrad,nonconvex,1.0,-1.0,0.01,2.254445,-2.254445,-2.467471,5000,0.049591,0.010278
adagrad,nonconvex,-7.0,-4.0,0.1,-2.596022,-2.595739,-3.617966,2516,0.02176,0.006319
adagrad,nonconvex,10.0,10.0,0.1,2.596064,2.596064,-3.617966,4814,0.035757,0.003524
adagrad,nonconvex,1.0,-1.0,0.1,2.595709,-2.595709,-3.617967,462,0.004155,0.000943
adagrad,rosenbrock,-7.0,-4.0,0.001,-6.86145,-3.860974,259554.900552,5000,0.036619,0.005995
adagrad,rosenbrock,10.0,10.0,0.001,9.861142,10.13919,758770.719267,5000,0.04123,0.005975
adagrad,rosenbrock,1.0,-1.0,0.001,0.868408,-0.865052,262.192874,5000,0.052864,0.008832
adagrad,rosenbrock,-7.0,-4.0,0.01,-5.74119,-2.69444,127178.326531,5000,0.049504,0.004807
adagrad,rosenbrock,10.0,10.0,0.01,8.711762,11.320861,417038.685431,5000,0.054626,0.006543
adagrad,rosenbrock,1.0,-1.0,0.01,0.313047,-0.098362,4.327647,5000,0.054077,0.007477
adagrad,rosenbrock,-7.0,-4.0,0.1,-2.038311,2.73237,211.537319,5000,0.036138,0.00522
adagrad,rosenbrock,10.0,10.0,0.1,4.37416,16.879728,519.230943,5000,0.03987,0.003181
adagrad,rosenbrock,1.0,-1.0,0.1,0.512129,0.260232,0.238436,5000,0.040477,0.004116
adagrad,convex_bowl,-7.0,-4.0,0.001,-6.860511,-3.860874,61.97295,5000,0.034036,0.002992
adagrad,convex_bowl,10.0,10.0,0.001,9.860366,9.860366,194.453647,5000,0.032338,0.002855
adagrad,convex_bowl,1.0,-1.0,0.001,0.863517,-0.863517,1.491323,5000,0.041931,0.008929
adagrad,convex_bowl,-7.0,-4.0,0.01,-5.651099,-2.69368,39.19083,5000,0.046185,0.00392
adagrad,convex_bowl,10.0,10.0,0.01,8.635169,8.635169,149.132271,5000,0.036913,0.006527
