Objective Function,Start X,Start Y,max_iter,lr,x,success,status,message,fun,nit,nfev,avg_runtime,stdev_runtime,N_runs
nonconvex,-7.0,-4.0,5000,0.001,"-2.5958327472434206, -2.595749515799499",true,0,Custom optimization converged after 1096 iterations.,-3.6179666368008814,1097,1096,0.0034603360000255634,0.0003160713570682048,100
nonconvex,10.0,10.0,5000,0.001,"2.5958057678369446, 2.5958057678369446",true,0,Custom optimization converged after 1461 iterations.,-3.617966636737286,1462,1461,0.0048778820000370616,0.0005064258627094275,100
nonconvex,-7.0,-4.0,5000,0.01,"-2.595747607680697, -2.595739897477459",true,0,Custom optimization converged after 127 iterations.,-3.617966683255883,128,127,0.0004284810000535799,0.00014796468230247954,100
nonconvex,10.0,10.0,5000,0.01,"2.595745690844957, 2.595745690844957",true,0,Custom optimization converged after 162 iterations.,-3.617966683181951,163,162,0.000817014999975072,0.00016553939045837513,100
nonconvex,-7.0,-4.0,5000,0.1,"-2.5957387035614077, -2.595739079698549",true,0,Custom optimization converged after 8 iterations.,-3.6179666836421873,9,8,0.00006251299986615777,0.000029998059445753427,100
nonconvex,10.0,10.0,5000,0.1,"2.5957389838721645, 2.5957389838721645",true,0,Custom optimization converged after 10 iterations.,-3.6179666836428357,11,10,0.000057907999889721394,0.000030170859092932688,100
rosenbrock,-7.0,-4.0,5000,0.001,"nan, nan",true,0,Custom optimization converged after 4999 iterations.,NaN,5000,4999,0.0243307969999114,0.0036598295160752384,100
rosenbrock,10.0,10.0,5000,0.001,"nan, nan",true,0,Custom optimization converged after 4999 iterations.,NaN,5000,4999,0.02566238199997315,0.0034027759661908697,100
rosenbrock,-7.0,-4.0,5000,0.01,"nan, nan",true,0,Custom optimization converged after 4999 iterations.,NaN,5000,4999,0.024447188000012828,0.0048115101124223585,100
rosenbrock,10.0,10.0,5000,0.01,"nan, nan",true,0,Custom optimization converged after 4999 iterations.,NaN,5000,4999,0.02395765900000697,0.005394811456374968,100
rosenbrock,-7.0,-4.0,5000,0.1,"nan, nan",true,0,Custom optimization converged after 4999 iterations.,NaN,5000,4999,0.02381897299979755,0.005320253848961955,100
rosenbrock,10.0,10.0,5000,0.1,"nan, nan",true,0,Custom optimization converged after 4999 iterations.,NaN,5000,4999,0.024004973999835783,0.005900150033397975,100
convex_bowl,-7.0,-4.0,5000,0.001,"-0.0004334289052158281, -0.0002476736601233297",true,0,Custom optimization converged after 4840 iterations.,2.4920285779547794e-7,4841,4840,0.021229881000363094,0.0027517275603390658,100
convex_bowl,10.0,10.0,5000,0.001,"0.0004494759270793589, 0.0004494759270793589",true,0,Custom optimization converged after 4999 iterations.,4.040572180476983e-7,5000,4999,0.01790450700031215,0.005456483380785692,100
convex_bowl,-7.0,-4.0,5000,0.01,"-4.2991935879195215e-05, -2.4566820502397235e-05",true,0,Custom optimization converged after 594 iterations.,2.451835220237838e-9,595,594,0.0016658109999843874,0.0002934792943378828,100
convex_bowl,10.0,10.0,5000,0.01,"3.488342191050781e-05, 3.488342191050781e-05",true,0,Custom optimization converged after 622 iterations.,2.4337062483729927e-9,623,622,0.0017098260000784648,0.0001916126781989893,100
convex_bowl,-7.0,-4.0,5000,0.1,"-3.5151769718165375e-06, -2.008672555323739e-06",true,0,Custom optimization converged after 65 iterations.,1.6391234577700083e-11,66,65,0.00020765500004927163,0.00007363585301166226,100
convex_bowl,10.0,10.0,5000,0.1,"3.213876088517982e-06, 3.213876088517982e-06",true,0,Custom optimization converged after 67 iterations.,2.065799902469529e-11,68,67,0.00020068399979209062,0.000058898210030615666,100
